Reference,Value,Footprint,Qty
TP6,+0V9,TestPoint_Pad_D1.0mm,1
TP1,+12V,TestPoint_Pad_D1.0mm,1
TP5,+1V0,TestPoint_Pad_D1.0mm,1
TP4,+1V8,TestPoint_Pad_D1.0mm,1
TP3,+3V3,TestPoint_Pad_D1.0mm,1
TP2,+5V,TestPoint_Pad_D1.0mm,1
Y1,100MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,1
C10_a C10_b C10_c C10_d C30 C31 C32 C33 C34 C35 C36 C37 C42 C43 C44 C45 C50_0 C50_1 C50_2 C50_3 C5_d C5_e C5_f C5_g C5a C5b C9a,100nF,C_0402_1005Metric,27
C11,100uF,CP_EIA-7343-15_Kemet-W,1
R1a,10k,R_0402_1005Metric,1
C2a C2b C2c,10uF,C_0603_1608Metric,3
C4a C4b,1uF,C_0402_1005Metric,2
C1a C1b,22uF,C_0805_2012Metric,2
F1,2A,Fuse_0805_2012Metric,1
R5_b R5_c R5a,330,R_0402_1005Metric,3
C38 C39 C40 C41,4.7uF,C_0402_1005Metric,4
L1,4.7uH,L_12x12mm_H4.5mm,1
U24,AD5684R,TSSOP-16_4.4x5mm_P0.65mm,1
U21,AD7928,TSSOP-20_4.4x5mm_P0.4mm,1
U10,ADP7118,TSOT-23-5,1
D2,Blue,LED_0603_1608Metric,1
J1,DC_12V,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1
U22,FT232H,QFN-48-1EP_5x5mm_P0.35mm_EP3.7x3.7mm,1
TP7,GND,TestPoint_Pad_D1.0mm,1
J6,GPIO,PinHeader_2x07_P1.27mm_Vertical,1
D1,Green,LED_0603_1608Metric,1
J5,JTAG,PinHeader_2x05_P1.27mm_Vertical,1
MH1 MH2 MH3 MH4,M3,MountingHole_3.2mm_M3,4
J11,MPO-24,MPO-24,1
U1,NCE_TEST_CHIP,QFN-64_8x8mm_P0.4mm,1
U4,NCE_TEST_CHIP_B,QFN-64_8x8mm_P0.4mm,1
D5a D5b,PRTR5V0U2X,D_SOD-323,2
SW1,RESET,SW_SPST_B3U-1000P,1
D3,Red,LED_0603_1608Metric,1
J10 J7 J8 J9,SMA,SMA_Amphenol_132289_EdgeMount,4
U20,Si5395A,QFN-28-1EP_3x6mm_P0.5mm_EP1.7x4.75mm,1
U3,TFLN_PIC,Custom_Optical_Module,1
U25,TMP461,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1
U15,TPS54360,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,1
U12,TPS7A2010,SOT-23-5,1
U11 U14,TPS7A2018,SOT-23-5,2
U13,TPS7A3301,SOT-23-5,1
J2,USB-C,USB_C_Numeric,1
U23,W25Q128JVS,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1
U2,XC7A100T,BGA-256_Numeric,1
